EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM001,41,36-45,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,"$5,993.00",5k-10k,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
RM002,49,46-55,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,"$5,130.00",5k-10k,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
RM003,37,36-45,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,"$2,090.00",Upto 5k,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
RM004,33,26-35,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,"$2,909.00",Upto 5k,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
RM005,27,26-35,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,"$3,468.00",Upto 5k,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
RM006,32,26-35,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,"$3,068.00",Upto 5k,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
RM007,59,55+,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,"$2,670.00",Upto 5k,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,
RM008,30,26-35,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,"$2,693.00",Upto 5k,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,
RM009,38,36-45,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,"$9,526.00",5k-10k,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,
RM010,36,36-45,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,"$5,237.00",5k-10k,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
RM011,35,26-35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,"$2,426.00",Upto 5k,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
RM012,29,26-35,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,"$4,193.00",Upto 5k,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
